Times;CH1 CH 1;CH2 CH 2;CH3 CH 3;CH4 CH 4
45.146 201 ms;1;0;0;1
45.146 801 ms;1;1;0;1
45.147 201 ms;1;0;0;1
45.147 801 ms;1;1;0;1
45.150 801 ms;1;0;0;1
45.151 201 ms;1;1;0;1
45.151 801 ms;1;0;0;1
45.152 201 ms;1;1;0;1
45.152 801 ms;1;0;0;1
45.153 201 ms;1;1;0;1
45.153 801 ms;1;0;0;1
45.154 201 ms;1;1;0;1
45.154 801 ms;1;0;0;1
45.155 201 ms;1;1;0;1
45.155 801 ms;1;0;0;1
45.156 201 ms;1;1;0;1
45.156 801 ms;1;0;0;1
45.157 201 ms;1;1;0;1
45.157 801 ms;1;0;0;1
45.158 201 ms;1;1;0;1
45.161 401 ms;1;0;0;1
45.161 801 ms;1;1;0;1
45.162 401 ms;1;0;0;1
45.162 801 ms;1;1;0;1
45.163 401 ms;1;0;0;1
45.163 801 ms;1;1;0;1
45.164 401 ms;1;0;0;1
45.164 801 ms;1;1;0;1
45.165 401 ms;1;0;0;1
45.165 801 ms;1;1;0;1
45.166 401 ms;1;0;0;1
45.166 801 ms;1;1;0;1
45.167 401 ms;1;0;0;1
45.167 801 ms;1;1;0;1
45.168 401 ms;1;0;0;1
45.168 801 ms;1;1;0;1
45.171 801 ms;1;0;0;1
45.172 401 ms;1;1;0;1
45.172 801 ms;1;0;0;1
45.173 401 ms;1;1;0;1
45.173 801 ms;1;0;0;1
45.174 401 ms;1;1;0;1
45.174 801 ms;1;0;0;1
45.175 401 ms;1;1;0;1
45.175 801 ms;1;0;0;1
45.176 401 ms;1;1;0;1
45.176 801 ms;1;0;0;1
45.177 401 ms;1;1;0;1
45.177 801 ms;1;0;0;1
45.178 401 ms;1;1;0;1
45.178 801 ms;1;0;0;1
45.179 401 ms;1;1;0;1
45.182 401 ms;1;0;0;1
45.183 001 ms;1;1;0;1
45.183 401 ms;1;0;0;1
45.184 001 ms;1;1;0;1
